text,persuasion,persuasion_id
Are you involved with charities?,task-related-inquiry,0
Do you currently donate to your charity?,task-related-inquiry,0
"Save The Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,1
These children really need the assistance.,logical-appeal,2
Do you have any more questions for me?,task-related-inquiry,0
How much money do you spend daily on extras like a coffee or treat?,personal-related-inquiry,3
Do you think that amount of money would make a difference in a needy child's life?,task-related-inquiry,0
Are you familiar with a charity called Save the Children?,source-related-inquiry,4
"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,1
"We can help by making a donation which is essential to help ensuring children's rights to health, education, safety, etc.",donation-information,5
You can donate by choosing an amount of your task payment from $0 to all.,donation-information,5
The monies will go to a worthy cause.,foot-in-the-door,6
Every little bit helps.,foot-in-the-door,6
It is automatically deducted from your task payment.,donation-information,5
It will be collected by the research team and sent to Save the Children.,donation-information,5
This site Helps many child,credibility-appeal,1
Their motto is to help children's future...that every child deserves a future,credibility-appeal,1
Save the Children,credibility-appeal,1
They help in the children's basic need like food and clothing.,credibility-appeal,1
They help in whatever it takes for children to transforming their lives and the future,credibility-appeal,1
This charity is from Fairfield Town in Connecticut,credibility-appeal,1
Child sponsorship works like a way of giving and that connects one compassionate person like you with one child in need.,logical-appeal,2
"Sponsoring a child gives the chance to grow up healthy, educated and safe ??Â¸??Â¸ forever changing the course of their life and future.",logical-appeal,2
"You can select a child according to your choice by age, gender",donation-information,5
You can Sponsor a child for just $36 a month,donation-information,5
Ya.. It will definitely work and save the children's future..,logical-appeal,2
I'm doing great but i would feel so much better if you let me tell you about one amazing charity,credibility-appeal,1
Have you heard about it?,source-related-inquiry,4
It's a great charity that helps children i developing countries and they are also currently helping at the US Mexican border to reunite children with their families,credibility-appeal,1
"There was this little boy in Africa, he was only 1 year old and he died of hunger.",emotion-appeal,7
It breaks my heart,emotion-appeal,7
This charity is one of the most top rated in the world.,credibility-appeal,1
You can also check out their website to see for yourself  URL,credibility-appeal,1
This charity is credible and people who work for it are professionals and have big hearts.,credibility-appeal,1
you can donate as much as 2$ or as little as couple of cents.,foot-in-the-door,6
"You know a lot of children in this world go through hardships, and your destiny is determined on where you are born?",emotion-appeal,7
"Yeah, so the chances of being born in the United States are very low, but you and I could have been born in a third world country where children are exploited",emotion-appeal,7
"Yes of course, especially when the world is how it is today, and do you remember the debate about Kony in 2012?",task-related-inquiry,0
Yeah so people donated money to help children in need.,self-modeling,8
It's called Save The Children and it's really helpful for kids who aren't as lucky as us and are born in countries that are ravaged by war.,credibility-appeal,1
"Yes so what it is is that it's a charity that has international impact, for example where there is lack of support like Syria.",credibility-appeal,1
"In the first two months of 2018, 1,000 children were killed or injured in the violence in Syria.",credibility-appeal,1
We help with medical costs and funding volunteers.,credibility-appeal,1
Anything between 10 to 50 cents helps.,foot-in-the-door,6
Just think of everyone who could donate a dollar and help kids in other countries little by little. You're an awesome person.,logical-appeal,2
"Maybe next time you hear about the charity, or if someone asks you to donate something, just give a little each time.",foot-in-the-door,6
The research team is helping an organization called 'Save the Children'.,credibility-appeal,1
Have you heard of it?,source-related-inquiry,4
"Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",credibility-appeal,1
Save the Children has a proven track record of using donations efficiently and effectively.,credibility-appeal,1
There are several children around us who are below poverty line and needed a helping hand.,emotion-appeal,7
It would be great if you can make a contribution from your side for this venture.,logical-appeal,2
"Yes, it may be little as the price of a candy.",logical-appeal,2
But it still makes the ripple effect in many lives.,logical-appeal,2
42% of their funding is from US.,credibility-appeal,1
"National, State & Local Govs, 20% from UN & Other Multi-Lateral Funding Institutions, 19% from Individuals like you and me, 11% from corporations, 7% from Foundations and 1% from other sources.",credibility-appeal,1
You can get further details from  URL,credibility-appeal,1
Your donation will be directly deducted from your task payment.,donation-information,5
You can choose any amount from $0 to all your payment.,donation-information,5
The research team will collect all donations and send it to Save the Children.,donation-information,5
You can donate as little as you want.,foot-in-the-door,6
But it will make a huge difference for those in need.,foot-in-the-door,6
HI I would like to tell you About a childrens charity called Save the CHildren.,task-related-inquiry,0
"Save the Children is an international non-governmental organization that promotes childrens rights, provides relief and helps support children in developing countries.",credibility-appeal,1
"Donations are extremely important in order for children to have their rights to healthcare, education, safety, etc",logical-appeal,2
If you were to donate you would be making a huge impact for these children and on the world,logical-appeal,2
THe amount is totally up to you.,donation-information,5
You can choose between $ to all of your payment you will be making by completing this task.,donation-information,5
The amount will be deducted from your task payment.,donation-information,5
Before you say no would you like to hear of some more reason as to why you should donate?,task-related-inquiry,0
Millians of syrian children have grown up facing the threat of daily violence,emotion-appeal,7
In 2018 1000 children were killed in violence,emotion-appeal,7
A donation of 0.60 can address these problems,logical-appeal,2
"Before you donate I just want u to think about how much money you spend on unnecessary items like eating out, snacks, going out.",logical-appeal,2
Money can be used in so many more meaningful ways..,logical-appeal,2
Dont you agree,task-related-inquiry,0
IN 2018 alone 1000 children were reportedly killed or injured in violence.,emotion-appeal,7
Most of these children have grown up facing the threat of daily violence.,emotion-appeal,7
